code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000025,特 力Ａ,汽车服务,深圳,188.37,3.93,4.31,15.76,5.9,1.04,4.31,1,0.059,2.97,7.54,19930621,3.95,0.92,-29.19,-42.84,21.45,12.99,47859
000026,飞亚达,其他商业,深圳,48.11,3.57,4.28,38.38,27.64,3.54,10.19,2.38,0.18,6.14,2.85,19930603,9.59,2.24,-11.38,-37.05,38.21,4.91,24037
000027,深圳能源,火力发电,深圳,4.65,47.57,47.57,1055.42,250.2,355.03,39.49,0.83,0.597,5.51,1.01,19930903,118.3,2.49,-15.37,175.23,29.93,32.32,106670
000028,国药一致,医药商业,深圳,15.73,3.68,4.28,376.7,293.92,7.17,43.73,10.21,1.503,30.83,1.53,19930809,81.39,19.01,6.14,-0.88,11.77,2.37,34260
000029,深深房Ａ,区域地产,深圳,56.21,8.92,10.12,44.86,37.65,0.29,9.78,0.97,0.096,3.56,3.04,19930915,13.95,1.38,-52.35,-70.8,42.32,16.31,76442
000030,富奥股份,汽车配件,吉林,14.44,17.6,18.11,131.48,68.41,22.83,5.22,0.29,0.25,3.76,1.85,19930929,41.09,2.27,14.68,2.83,14.97,8.29,27854
000031,大悦城,全国地产,深圳,19.44,18.14,42.86,1972.5,1482.54,41.31,85.43,1.99,0.132,4.42,1.16,19931008,54.06,1.26,-33.31,-69.74,44.92,4.64,140966
000032,深桑达Ａ,元器件,深圳,130.55,4.11,4.13,22.92,17.7,0.85,0.69,0.17,0.089,3.57,6.52,19931028,7.28,1.76,-20.38,-29.59,18.82,7.02,20371
000034,神州数码,综合类,深圳,32.9,4.92,6.54,290.58,227.4,1.59,23.38,3.58,0.373,6.8,3.6,19940509,13.68,2.09,-4.05,-38.55,4.02,0.6,60718
000035,中国天楹,环境保护,江苏,21.15,23.68,25.24,492.17,121.94,79.39,84.06,3.33,0.117,4.4,1.13,19940408,20.53,0.81,33.01,39.77,14.92,2.77,40646
000036,华联控股,全国地产,深圳,7.18,14.79,14.84,124.11,99.6,8.06,2.32,0.16,0.298,3.23,1.32,19940617,25.79,1.74,26.94,-3.57,67.1,21.06,60575
000037,深南电A,火力发电,深圳,89.19,3.39,6.03,30.52,19.34,9.55,3.63,0.6,0.086,3.39,4.54,19940701,7.47,1.24,26.96,305.83,12.55,10.04,26378
000038,深大通,广告包装,深圳,44.84,2.38,5.23,31.63,17.06,0.02,43.13,8.25,0.141,5.41,2.33,19940808,-20.62,-3.94,-44.69,573.62,13.83,12.26,34001
000039,中集集团,轻工机械,深圳,0,15.26,35.87,1769.48,905.26,376.2,48.4,1.35,-0.08,11.28,0.8,19940408,207.51,5.79,-7.69,-126.89,12.85,-0.46,81599
000040,东旭蓝天,新型电力,深圳,0,10.6,14.87,302.77,159.93,58.34,106.76,7.18,-0.189,8.83,0.4,19940808,7.5,0.5,-74.64,-403.02,19.02,-21.17,70103
000042,中洲控股,全国地产,深圳,20.76,6.62,6.65,465.8,410.89,10.7,24.55,3.69,0.234,11.73,0.83,19940921,41.37,6.22,47.16,-23.17,21.33,4.42,15983
000045,深纺织Ａ,元器件,深圳,3011.3,4.57,5.09,44.76,21.14,8.51,19.68,3.86,0.001,5.38,1.58,19940815,0.5,0.1,-15.12,-90.81,11.14,0.08,30787
000046,泛海控股,多元金融,北京,0,51.7,51.96,1834.55,1406.03,9.57,75.21,1.45,-0.079,4.15,1.11,19940912,66.27,1.28,23.02,-123.5,85.95,-27.82,43472
000048,京基智农,饲料,深圳,60.61,4.02,4.02,74,62.06,2.16,0.42,0.1,0.343,5.02,8.28,19941101,13.93,3.46,-28.82,-7.75,39.12,16.56,10880
000049,德赛电池,电气设备,深圳,30.35,2.05,2.07,83.35,68.27,8.47,0.49,0.24,0.839,10.79,4.72,19950320,19.22,9.27,3.35,2.02,8.34,2.29,23572
000050,深天马Ａ,元器件,深圳,25.29,18.29,24.58,696.85,145.41,269.22,210.82,8.58,0.36,13.33,1.15,19950315,40.07,1.63,-3.69,15.67,19.35,5.3,80659
000055,方大集团,其他建材,深圳,17.42,6.78,10.88,114.82,48.08,4.84,0.01,0,0.135,4.76,0.99,19960415,39.91,3.67,-12.22,14.2,22.47,11.73,61834
000056,皇庭国际,房产服务,深圳,166,9.04,11.75,123.98,15.44,0.44,19.26,1.64,0.011,4.65,0.75,19960708,21.36,1.82,-44.14,-86.3,70.69,4.55,27099
000058,深 赛 格,元器件,深圳,84.82,5.38,12.36,59.37,40.34,0.61,1.53,0.12,0.048,1.58,5.12,19961226,4.03,0.33,1.49,-29.08,36.66,7.6,77592
000059,华锦股份,石油加工,辽宁,0,15.99,15.99,305.84,152.29,133.45,59.59,3.73,-0.418,7.87,0.62,19970130,43.73,2.73,-29.52,-211.64,5.87,-5.04,65114
